1,2,4,22,18,20,25,24,19,16,11,7,12,9,3,6,5,21,10,17,8,15,14,13,23
7,3,8,20,16,23,2,4,15,18,1,17,21,10,22,19,14,11,13,25,9,12,24,6,5
6,9,11,17,15,8,10,14,21,5,2,25,24,13,16,23,1,12,3,7,18,4,20,22,19
10,13,23,14,21,22,9,12,7,17,20,5,6,18,19,16,8,15,24,4,25,3,11,2,1
12,5,24,19,25,13,6,1,11,3,15,23,4,14,8,9,22,20,2,18,16,17,10,7,21
13,20,16,12,11,10,23,21,5,19,3,24,18,15,25,1,2,17,9,22,14,6,8,4,7
23,8,18,3,6,2,1,9,12,11,22,13,17,19,4,7,21,14,20,15,5,25,16,24,10
14,7,21,2,24,4,3,17,25,13,12,16,9,8,23,10,19,6,5,11,20,18,22,1,15
25,22,15,9,5,6,24,20,18,8,14,10,1,7,11,12,23,4,16,3,2,19,21,17,13
17,10,1,4,19,15,14,16,22,7,21,6,2,20,5,8,13,25,18,24,12,11,9,23,3
11,16,5,6,9,12,4,25,14,23,18,15,22,1,10,13,20,7,8,19,24,21,17,3,2
21,25,19,1,8,11,15,3,10,20,16,9,7,2,6,24,17,22,4,5,23,14,13,12,18
15,12,3,24,13,17,18,6,1,22,4,19,8,5,20,2,9,23,21,14,10,16,7,25,11
22,18,20,23,10,16,19,7,8,2,24,21,13,17,14,3,11,1,25,12,15,9,4,5,6
4,17,2,7,14,9,21,5,13,24,23,11,25,3,12,15,16,18,6,10,1,8,19,20,22
24,6,9,13,12,18,7,15,2,14,25,1,20,21,17,22,4,3,23,8,19,10,5,11,16
5,15,22,10,23,1,20,11,16,12,8,2,19,4,18,14,6,13,7,21,3,24,25,9,17
20,4,14,16,17,24,13,19,6,21,7,3,5,23,9,18,25,10,11,2,22,1,15,8,12
2,11,25,18,1,5,8,22,3,4,10,12,14,16,13,17,24,19,15,9,7,23,6,21,20
19,21,7,8,3,25,17,23,9,10,6,22,11,24,15,5,12,16,1,20,13,2,18,14,4
3,23,12,5,22,14,11,2,4,6,17,18,16,25,24,20,15,8,19,13,21,7,1,10,9
8,19,6,25,4,7,16,18,20,9,13,14,3,11,2,21,10,5,12,1,17,22,23,15,24
18,24,17,21,20,19,22,13,23,15,9,4,10,12,1,25,7,2,14,6,11,5,3,16,8
9,14,10,15,2,21,5,8,17,1,19,20,23,6,7,11,3,24,22,16,4,13,12,18,25
16,1,13,11,7,3,12,10,24,25,5,8,15,22,21,4,18,9,17,23,6,20,2,19,14
19,25,10,21,1,22,11,23,6,12,17,20,14,8,2,7,4,15,13,18,5,9,3,16,24
24,18,4,11,8,2,9,17,19,3,10,15,7,23,13,16,6,21,14,5,22,20,12,1,25
12,13,9,3,7,15,5,24,18,14,4,6,16,19,1,20,25,23,22,2,21,8,10,11,17
5,23,15,22,17,1,16,20,4,7,18,11,12,25,21,24,3,8,9,10,14,2,6,19,13
20,2,6,16,14,25,10,21,8,13,9,22,3,5,24,11,1,12,17,19,23,4,7,15,18
15,14,17,5,16,4,22,18,10,1,19,8,20,9,11,21,7,3,12,13,2,25,23,24,6
18,3,11,1,4,6,2,25,23,24,16,14,21,12,7,8,19,10,5,9,17,15,22,13,20
9,10,8,24,12,21,20,13,15,19,3,23,6,17,18,2,14,25,1,22,16,5,11,7,4
13,6,21,19,23,5,7,8,16,11,2,4,25,22,10,15,17,18,24,20,3,12,1,14,9
25,7,2,20,22,3,12,14,9,17,1,5,13,24,15,6,11,16,23,4,10,19,21,18,8
14,12,24,2,13,20,25,7,21,6,11,1,4,10,17,22,8,19,3,16,9,23,18,5,15
22,20,1,23,19,13,3,4,5,10,12,2,9,15,14,18,21,17,25,7,6,11,24,8,16
8,17,18,9,21,19,1,11,22,2,5,16,24,3,25,13,15,20,6,23,12,7,14,4,10
4,15,16,7,11,18,8,9,12,23,6,19,22,13,20,1,5,24,10,14,25,21,17,3,2
3,5,25,10,6,17,14,15,24,16,7,21,23,18,8,9,12,4,2,11,20,1,13,22,19
16,9,14,6,20,10,24,5,25,15,22,18,8,1,19,17,23,2,11,3,7,13,4,21,12
2,19,13,25,24,23,6,16,3,18,14,7,15,21,5,4,9,22,20,12,11,17,8,10,1
23,1,7,4,5,11,17,22,2,8,20,12,10,6,16,14,24,13,21,15,19,18,9,25,3
10,8,22,17,15,9,4,12,14,21,13,3,2,11,23,25,18,7,19,1,24,16,20,6,5
21,11,3,12,18,7,13,19,1,20,25,24,17,4,9,10,16,5,8,6,15,22,2,23,14
1,24,20,15,3,16,23,6,11,9,8,17,19,7,12,5,13,14,18,21,4,10,25,2,22
7,4,5,8,10,12,21,3,17,22,15,25,18,20,6,23,2,1,16,24,13,14,19,9,11
17,16,23,18,2,8,19,10,20,5,24,13,11,14,4,3,22,9,7,25,1,6,15,12,21
11,21,12,14,9,24,15,1,13,25,23,10,5,2,22,19,20,6,4,8,18,3,16,17,7
6,22,19,13,25,14,18,2,7,4,21,9,1,16,3,12,10,11,15,17,8,24,5,20,23
